label	avg	MATH	GPQA	IFEval	LCB	GSM8K	on_hub	url	ckpt	local_size	log
8B S60 d=999 lr=1e-4	53.80	80.00	35.86	54.71	19.03	79.38	yes	https://huggingface.co/cosmos1030/gmp-kd3e-1-s60pct-lr1e-4_20260827_145722	gmp_s60pct_lr0.0001_onpol_lmda0.33_20260827_133331		queue_gmp_pgd_klgate_8b/s60_u_duringgrowth.log
8B 2:4 d=0.01 lr=1e-4	52.64	74.20	34.85	60.44	17.16	76.57	yes	https://huggingface.co/cosmos1030/gmp-kd3e-1-s50pct-lr1e-4_20260910_041750	gmp_s50pct_lr0.0001_onpol_lmda0.33_20260910_030026	16.4 GB	resweep2_opkdfix/n24_klb0.01_resume.log
8B 2:4 d=0.02 lr=1e-4	52.20	74.60	33.84	59.70	15.67	77.18	yes	https://huggingface.co/cosmos1030/gmp-kd3e-1-s50pct-lr1e-4_20260910_054526	gmp_s50pct_lr0.0001_onpol_lmda0.33_20260910_042748	16.4 GB	resweep2_opkdfix/n24_klb0.02.log
8B 2:4 d=0.02 lr=1e-4	51.31	74.20	38.38	54.90	13.43	75.66	yes	https://huggingface.co/cosmos1030/gmp-kd3e-1-s50pct-lr1e-4_20260903_003445	gmp_s50pct_lr0.0001_onpol_lmda0.33_20260902_231340	16.4 GB	queue_gmp_pgd_grow_to_target_8b_24/klb0.02.log
8B 2:4 d=999 lr=1e-4	51.20	71.80	38.38	55.45	14.18	76.19	yes	https://huggingface.co/cosmos1030/gmp-kd3e-1-s50pct-lr1e-4_20260828_050544	gmp_s50pct_lr0.0001_onpol_lmda0.33_20260828_034431		queue_gmp_pgd_klgate_8b/s50_24_duringgrowth.log
8B 2:4 lr=1e-4	50.47	73.80	32.83	53.97	16.79	74.98	yes	https://huggingface.co/cosmos1030/gmp-kd3e-1-s50pct-lr1e-4_20260825_152633	gmp_s50pct_lr0.0001_onpol_lmda0.33_20260825_140422	16.4 GB	gmp_pgd_klgate_8b_24_lr1e-4_fsdp2gpu_v2.launch.log
8B 2:4 d=0.01 lr=1e-4	50.15	72.60	35.35	53.79	13.43	75.59	yes	https://huggingface.co/cosmos1030/gmp-kd3e-1-s50pct-lr1e-4_20260902_234728	gmp_s50pct_lr0.0001_onpol_lmda0.33_20260902_222528	16.4 GB	queue_gmp_pgd_grow_to_target_8b_24/klb0.01_v13.log
8B S70 d=0.02 lr=1e-4	50.12	77.40	38.38	46.58	8.58	79.68	yes	https://huggingface.co/cosmos1030/gmp-kd3e-1-s70pct-lr1e-4_20260907_073958	gmp_s70pct_lr0.0001_onpol_lmda0.33_20260907_061803	16.4 GB	delta_resweep_opkdfix/s70_delta0.02.log
8B S70 d=0.01 lr=1e-4	49.84	75.20	35.35	47.87	12.69	78.09	yes	https://huggingface.co/cosmos1030/gmp-kd3e-1-s70pct-lr1e-4_20260908_034050	gmp_s70pct_lr0.0001_onpol_lmda0.33_20260908_021645	16.4 GB	resweep2_opkdfix/s70_delta0.01.log
8B S70 d=0.03 lr=1e-4	49.74	78.60	33.84	46.03	12.31	77.94	yes	https://huggingface.co/cosmos1030/gmp-kd3e-1-s70pct-lr1e-4_20260905_222944	gmp_s70pct_lr0.0001_onpol_lmda0.33_20260905_210644	16.4 GB	delta_sweep_8b_s70/s70_delta0.03.log
8B S70 d=0.05 lr=1e-4	49.11	77.40	35.86	45.47	7.84	79.00	yes	https://huggingface.co/cosmos1030/gmp-kd3e-1-s70pct-lr1e-4_20260907_084627	gmp_s70pct_lr0.0001_onpol_lmda0.33_20260907_072207	16.4 GB	delta_resweep_opkdfix/s70_delta0.05.log
8B ?	48.95	76.20	36.87	43.99	10.45	77.26	yes	https://huggingface.co/cosmos1030/gmp-kd3e-1-s70pct-lr1e-4_20260906_190837	gmp_s70pct_lr0.0001_onpol_lmda0.33_20260906_105649		opkdfix_8b_s70_delta0.03/eval_resume.log
