label	arm	state	model	avg5	MATH	GPQA	IFEval	LCB	GSM8K	n_bench	step	total	comp_events	comp_maxdelta	ckpt	log
4B S70 d=99999 lr=1e-4	s70_nogate	DONE	4B	41.87	64.40	28.28	40.85	4.85	70.96	5	2048	2048	0		gmp_s70pct_lr0.0001_onpol_lmda0.33_20260903_060450	ablation_A3_nogate_4b/s70_nogate.log
4B S70 d=0.02 lr=1e-4	s70_warm0	DONE	4B	41.84	68.00	28.79	33.09	9.70	69.60	5	2048	2048	0		gmp_s70pct_lr0.0001_onpol_lmda0.33_20260904_193834	ablation_warm0_4b_s70/s70_warm0.log
4B S70 d=0.01 lr=1e-4	s70_klb0.01	DONE	4B	41.20	68.40	28.28	33.83	5.60	69.90	5	2048	2048	0		gmp_s70pct_lr0.0001_onpol_lmda0.33_20260903_055641	queue_gmp_pgd_grow_to_target_4b/s70_klb0.01.log
4B S70 d=99999 lr=1e-4 B1frozen(ro=4096)	s70_nogate_frozen	DONE	4B	40.94	62.20	27.78	37.52	4.85	72.33	5	2048	2048	0		gmp_s70pct_lr0.0001_onpol_lmda0.33_20260904_191450	ablation_A3B1_nogate_frozen_4b/s70_nogate_frozen.log
4B S70 d=0.02 lr=1e-4	gmp_pgd_klgate_4b_s70_lr1e-4_mi32_opd512.launch	DONE	4B	40.79	68.00	30.30	30.13	4.48	71.04	5	2048	2048	0		gmp_s70pct_lr0.0001_onpol_lmda0.33_20260824_075727	gmp_pgd_klgate_4b_s70_lr1e-4_mi32_opd512.launch.log
4B S70 rule=schedule	s70_A2sched_er0.5	DONE	4B	40.45	68.40	28.28	31.42	5.97	68.16	5	2048	2048	0		gmp_s70pct_lr0.0001_onpol_lmda0.33_20260903_131246	ablation_A2_schedule_4b/s70_A2sched_er0.5.log
4B S70 d=0.02 lr=1e-4	s70_capped_reversekl	DONE	4B	38.05	59.00	27.78	29.76	4.48	69.22	5	2048	2048	0		gmp_s70pct_lr0.0001_onpol_lmda0.33_20260828_073925	queue_gmp_pgd_klgate_4b_reversekl/s70_capped_reversekl.log
4B 2:4 d=999 lr=1e-4	s50_24_posttargetonly	DONE	4B	36.65	55.20	27.78	31.42	4.10	64.75	5	2048	2048	0		gmp_s50pct_lr0.0001_onpol_lmda0.33_20260827_042748	queue_gmp_pgd_klgate_4b/s50_24_posttargetonly.log
4B S70 d=0.02 lr=1e-4 jump	s70_A3jump_4b	DONE	4B	36.55	59.40	29.29	30.50	2.24	61.33	5	2048	2048	0		gmp_s70pct_lr0.0001_onpol_lmda0.33_20260909_200053	ablation4b_jump/s70_A3jump_4b_resume.log
4B S70 d=999 lr=1e-4	s70_uncapped_reversekl	DONE	4B	35.84	58.80	24.75	26.06	1.87	67.70	5	2048	2048	0		gmp_s70pct_lr0.0001_onpol_lmda0.33_20260828_073529	queue_gmp_pgd_klgate_4b_reversekl/s70_uncapped_reversekl.log
